Date,Temperature_C,Humidity_%,Rainfall_mm,Wind_Speed_kmh,Pressure_hPa,Rain_Probability_%,Weather_Type
2025-02-09,23.5,76.6,15.2,13.4,1015.9,42.5,Rain
2025-02-10,24.8,84.0,0.0,10.1,1017.0,61.6,Clear
2025-02-11,23.6,72.0,23.8,6.3,1013.8,56.8,Heavy Rain
2025-02-12,23.1,78.3,0.0,9.9,1020.8,31.7,Clear
2025-02-13,22.8,80.0,12.1,10.9,1009.8,54.7,Rain
2025-02-14,20.3,82.6,0.0,9.9,1019.1,57.5,Clear
2025-02-15,22.0,83.8,10.8,3.3,1013.1,46.3,Rain
2025-02-16,22.7,70.8,5.2,5.8,1022.0,58.2,Rain
2025-02-17,26.1,67.7,0.0,7.3,1021.4,38.0,Clear
2025-02-18,24.6,87.2,0.0,7.8,1011.1,53.5,Cloudy
2025-02-19,20.1,80.4,0.0,9.9,1014.3,45.7,Clear
2025-02-20,24.8,72.7,0.0,8.5,1017.6,43.1,Clear
2025-02-21,23.3,88.6,0.0,4.0,1013.3,39.7,Cloudy
2025-02-22,22.7,78.4,19.2,9.1,1015.0,29.2,Rain
2025-02-23,25.7,85.6,0.0,9.8,1013.8,70.2,Cloudy
2025-02-24,26.7,77.7,0.0,9.7,1005.5,35.9,Clear
2025-02-25,26.5,91.4,15.4,11.2,1013.2,42.7,Rain
2025-02-26,22.7,89.1,15.0,10.5,1012.4,27.4,Rain
2025-02-27,24.0,74.9,1.3,9.4,1012.5,36.6,Rain
2025-02-28,25.5,83.2,0.0,7.8,1019.5,33.6,Clear
2025-03-01,27.0,80.8,0.0,3.0,1008.0,67.7,Clear
2025-03-02,23.9,85.6,0.0,9.3,1017.8,63.1,Cloudy
2025-03-03,24.7,69.1,0.0,8.6,1013.1,32.4,Clear
2025-03-04,22.7,80.5,3.0,8.8,1014.0,74.8,Rain
2025-03-05,22.6,82.9,4.1,4.2,1018.3,61.1,Rain
2025-03-06,27.2,63.0,7.0,4.8,1014.3,32.9,Rain
2025-03-07,28.5,66.8,0.0,11.2,1014.6,9.2,Clear
2025-03-08,25.4,60.6,24.4,7.9,1017.7,62.9,Heavy Rain
2025-03-09,27.9,72.8,22.8,10.0,1011.2,26.3,Heavy Rain
2025-03-10,26.6,79.5,0.0,8.1,1010.8,27.4,Clear
2025-03-11,24.5,84.8,0.0,8.1,1009.9,62.8,Clear
2025-03-12,26.8,74.6,0.0,10.8,1009.8,73.4,Clear
2025-03-13,29.5,85.3,0.0,6.5,1023.6,67.4,Cloudy
2025-03-14,26.1,64.0,0.0,8.3,1018.4,44.3,Clear
2025-03-15,29.7,61.5,3.5,6.6,1006.2,43.1,Rain
2025-03-16,20.6,72.8,0.0,6.7,1010.9,53.3,Clear
2025-03-17,28.3,75.7,0.0,7.1,1014.3,53.9,Clear
2025-03-18,26.8,72.6,9.5,8.7,1015.3,46.2,Rain
2025-03-19,26.0,58.1,0.0,6.6,1015.7,35.1,Clear
2025-03-20,27.0,71.8,0.0,11.8,1012.0,41.6,Clear
2025-03-21,22.5,63.1,0.0,5.3,1014.7,27.9,Clear
2025-03-22,26.5,76.7,0.0,7.4,1014.6,42.1,Clear
2025-03-23,27.9,74.4,0.0,6.7,1012.9,23.7,Clear
2025-03-24,30.5,65.0,8.5,12.3,1002.4,36.9,Rain
2025-03-25,26.2,67.8,0.0,8.6,1012.5,28.0,Clear
2025-03-26,25.6,63.8,0.0,11.1,1010.3,24.1,Clear
2025-03-27,26.4,70.5,4.5,3.5,1014.0,43.7,Rain
2025-03-28,29.6,77.4,20.8,8.8,1023.6,62.6,Heavy Rain
2025-03-29,28.4,63.7,0.0,10.7,1013.7,48.3,Clear
2025-03-30,26.7,73.9,0.0,8.2,1011.9,24.8,Clear
2025-03-31,29.1,66.4,0.0,11.2,1015.7,27.1,Clear
2025-04-01,28.2,64.4,19.9,6.4,1014.3,49.0,Rain
2025-04-02,30.3,69.0,0.0,12.2,1013.1,28.8,Clear
2025-04-03,26.7,62.3,2.8,14.9,1015.6,33.7,Rain
2025-04-04,27.6,65.5,12.4,6.9,1020.9,45.0,Rain
2025-04-05,27.6,60.8,0.0,6.7,1008.2,23.8,Clear
2025-04-06,25.3,82.7,0.0,12.4,1015.7,50.4,Clear
2025-04-07,29.3,69.0,7.5,12.7,1008.2,24.6,Rain
2025-04-08,29.3,63.6,0.0,6.4,1014.1,30.1,Clear
2025-04-09,28.8,69.8,0.0,6.7,1008.4,45.0,Clear
2025-04-10,28.4,67.4,0.0,7.2,1010.6,20.5,Clear
2025-04-11,25.9,66.4,12.6,4.0,1012.4,44.3,Rain
2025-04-12,28.2,72.1,21.9,5.2,1016.3,42.3,Heavy Rain
2025-04-13,28.5,72.9,0.0,5.0,1015.9,49.7,Clear
2025-04-14,27.5,63.7,0.0,5.7,1007.7,40.0,Clear
2025-04-15,29.1,63.2,8.1,7.9,1012.2,53.3,Rain
2025-04-16,30.4,65.1,0.0,8.7,1008.5,39.7,Clear
2025-04-17,33.7,50.7,0.0,12.7,1004.6,24.0,Hot
2025-04-18,30.1,56.0,23.7,5.0,1010.6,34.0,Heavy Rain
2025-04-19,30.3,76.0,0.0,11.0,1010.1,51.5,Clear
2025-04-20,29.7,77.8,9.2,7.4,1021.4,46.7,Rain
2025-04-21,25.7,64.3,0.0,7.9,1015.4,38.2,Clear
2025-04-22,30.0,69.9,0.0,10.0,1006.0,32.8,Clear
2025-04-23,30.3,67.9,0.0,4.6,1009.1,32.0,Clear
2025-04-24,35.6,87.1,7.2,9.1,1012.8,35.1,Rain
2025-04-25,29.9,73.2,5.1,8.5,1019.9,64.2,Rain
2025-04-26,31.1,64.3,0.0,9.5,1004.6,22.8,Clear
2025-04-27,30.4,58.3,0.0,8.9,1003.8,25.6,Clear
2025-04-28,28.0,53.6,0.0,15.4,1020.0,22.4,Clear
2025-04-29,33.2,66.1,0.0,6.1,1011.5,49.6,Hot
2025-04-30,32.4,59.2,15.3,6.4,1006.8,31.0,Rain
2025-05-01,32.6,54.4,17.6,6.1,1012.4,46.5,Rain
2025-05-02,28.9,59.7,0.0,6.3,1001.5,26.7,Clear
2025-05-03,34.1,56.5,0.0,6.1,1009.5,36.2,Hot
2025-05-04,28.0,75.7,0.0,11.6,1013.8,34.8,Clear
2025-05-05,32.4,69.9,12.2,12.3,1014.0,66.9,Rain
2025-05-06,36.0,63.6,0.0,6.3,1004.4,23.0,Hot
2025-05-07,29.1,73.8,1.7,5.5,1012.3,47.4,Rain
2025-05-08,30.1,63.9,11.2,9.4,1007.8,45.0,Rain
2025-05-09,31.6,57.1,0.0,6.3,1011.7,38.2,Clear
2025-05-10,30.4,73.7,10.5,9.9,1007.7,41.3,Rain
2025-05-11,28.1,66.7,0.0,8.6,1010.8,37.6,Clear
2025-05-12,31.8,55.5,0.0,3.5,1006.6,32.7,Clear
2025-05-13,29.3,61.3,0.0,12.6,1014.4,34.1,Clear
2025-05-14,32.8,56.4,0.0,13.4,1013.5,44.3,Clear
2025-05-15,29.8,52.7,5.3,6.2,1010.7,57.0,Rain
2025-05-16,35.3,68.7,0.0,6.8,1009.0,33.8,Hot
2025-05-17,30.2,75.5,0.0,8.9,1005.6,28.3,Clear
2025-05-18,31.3,52.2,0.0,9.0,1009.7,29.1,Clear
2025-05-19,33.8,65.9,0.0,10.0,1009.4,69.6,Hot
2025-05-20,29.4,57.2,11.0,14.0,1022.3,23.6,Rain
2025-05-21,32.7,58.3,10.5,7.5,1005.7,53.6,Rain
2025-05-22,35.1,57.4,4.6,5.6,1014.8,53.5,Rain
2025-05-23,28.7,55.4,0.0,3.9,1016.1,25.5,Clear
2025-05-24,32.7,61.7,0.0,5.8,1011.3,42.9,Clear
2025-05-25,32.9,55.5,2.8,7.9,1017.1,51.7,Rain
2025-05-26,34.1,63.1,0.0,13.4,1010.9,32.4,Hot
2025-05-27,29.7,60.8,18.4,6.4,1013.2,33.0,Rain
2025-05-28,29.6,59.4,0.0,8.7,1011.5,27.6,Clear
2025-05-29,33.7,54.6,0.0,8.0,1014.6,19.4,Hot
2025-05-30,33.2,56.8,0.0,11.6,1014.3,25.2,Hot
2025-05-31,33.2,66.1,0.0,15.6,1007.4,24.1,Hot
2025-06-01,33.4,64.2,13.4,6.4,1004.5,38.1,Rain
2025-06-02,31.2,53.8,4.1,6.5,1010.1,21.9,Rain
2025-06-03,33.2,61.3,5.8,11.1,1006.7,38.6,Rain
2025-06-04,33.4,65.8,0.0,10.0,1009.6,19.9,Hot
2025-06-05,31.2,48.8,4.6,13.5,1015.9,32.0,Rain
2025-06-06,36.9,64.2,0.0,9.8,1006.2,47.6,Hot
2025-06-07,33.9,55.7,0.0,6.9,1009.4,8.4,Hot
2025-06-08,30.2,64.3,0.0,9.8,1011.6,42.2,Clear
2025-06-09,34.3,54.9,9.0,11.3,1012.7,46.6,Rain
2025-06-10,30.7,47.6,0.0,10.5,1002.1,12.7,Clear
2025-06-11,34.6,48.8,0.0,9.5,1006.8,48.1,Hot
2025-06-12,35.5,60.5,37.9,11.2,1009.6,40.3,Heavy Rain
2025-06-13,31.1,61.9,0.0,11.5,1015.7,27.8,Clear
2025-06-14,35.1,53.8,0.0,12.1,1007.0,30.4,Hot
2025-06-15,33.9,64.5,3.7,9.9,1002.1,44.5,Rain
2025-06-16,34.8,48.4,0.0,7.5,1011.6,28.7,Hot
2025-06-17,37.2,59.6,0.0,8.4,1005.4,41.2,Hot
2025-06-18,32.5,51.5,11.5,11.6,1005.5,18.7,Rain
2025-06-19,31.3,55.4,0.0,5.5,1008.3,34.2,Clear
2025-06-20,31.0,60.3,0.0,9.1,1010.2,18.2,Clear
2025-06-21,31.2,54.0,0.0,6.8,1008.5,29.9,Clear
2025-06-22,32.8,57.3,0.0,8.1,1001.3,22.5,Clear
2025-06-23,33.7,67.0,0.0,11.8,1013.2,30.6,Hot
2025-06-24,33.6,56.0,0.0,8.6,1014.8,47.3,Hot
2025-06-25,34.8,65.9,0.0,8.1,1011.7,51.8,Hot
2025-06-26,33.0,52.1,20.9,3.9,1005.4,37.4,Heavy Rain
2025-06-27,36.2,63.8,0.0,10.2,1007.6,24.2,Hot
2025-06-28,32.4,70.2,0.0,9.9,1010.3,37.6,Clear
2025-06-29,38.9,42.8,0.0,14.5,1009.4,38.8,Hot
2025-06-30,34.3,54.6,29.8,7.1,1012.0,33.3,Heavy Rain
2025-07-01,31.0,64.2,0.0,8.7,1008.0,65.5,Clear
2025-07-02,30.5,58.8,4.5,8.7,1011.6,39.0,Rain
2025-07-03,33.9,62.8,2.3,12.7,1011.4,39.1,Rain
2025-07-04,32.4,56.1,1.4,7.7,1016.1,28.8,Rain
2025-07-05,34.4,60.9,11.3,8.8,1012.1,37.2,Rain
2025-07-06,33.8,59.3,0.0,9.8,1012.7,32.7,Hot
2025-07-07,32.6,68.6,0.0,8.6,1010.5,48.9,Clear
2025-07-08,30.9,62.3,8.5,6.7,1016.7,47.9,Rain
2025-07-09,29.4,62.9,0.0,8.6,1013.4,27.4,Clear
2025-07-10,31.7,57.7,0.0,11.2,1007.2,17.6,Clear
2025-07-11,34.5,57.3,0.0,4.9,1014.8,11.3,Hot
2025-07-12,33.1,57.7,12.2,8.4,1012.7,39.7,Rain
2025-07-13,29.8,63.6,0.0,5.9,1009.8,24.0,Clear
2025-07-14,32.9,58.0,0.0,11.6,1008.1,7.9,Clear
2025-07-15,33.4,63.0,0.0,3.4,1011.0,41.5,Hot
2025-07-16,30.5,75.6,12.0,6.3,1013.1,74.7,Rain
2025-07-17,32.8,67.3,21.0,9.1,1010.9,39.5,Heavy Rain
2025-07-18,32.5,59.0,0.0,12.7,1011.5,44.4,Clear
2025-07-19,29.8,69.8,0.0,7.8,1018.4,42.1,Clear
2025-07-20,33.1,58.6,0.0,6.3,1014.3,32.9,Hot
2025-07-21,33.5,47.3,0.0,13.6,1010.5,38.1,Hot
2025-07-22,34.6,54.6,17.1,3.7,1013.0,28.1,Rain
2025-07-23,34.4,48.7,0.0,1.4,1005.1,31.1,Hot
2025-07-24,29.0,59.4,0.0,9.3,1013.6,38.5,Clear
2025-07-25,30.0,62.1,0.0,6.5,1018.8,28.3,Clear
2025-07-26,33.1,73.8,0.0,4.9,1009.1,55.5,Hot
2025-07-27,33.0,64.5,0.0,10.1,1006.6,35.7,Hot
2025-07-28,33.0,60.8,10.7,8.7,1007.4,26.4,Rain
2025-07-29,40.3,68.3,0.0,6.3,1002.0,46.6,Hot
2025-07-30,33.0,47.1,0.0,4.2,1006.9,16.2,Clear
2025-07-31,34.1,64.4,0.0,10.6,1007.9,38.1,Hot
2025-08-01,33.7,68.2,0.0,10.0,1004.0,40.0,Hot
2025-08-02,32.9,52.6,0.0,7.7,1010.1,43.4,Clear
2025-08-03,30.8,71.1,0.0,13.5,1014.7,47.6,Clear
2025-08-04,33.0,65.6,0.0,4.8,1006.3,38.2,Hot
2025-08-05,29.6,60.5,0.0,3.4,1017.8,45.1,Clear
2025-08-06,30.7,68.0,13.3,5.9,1013.2,56.7,Rain
2025-08-07,30.1,79.6,16.5,7.9,1015.6,53.9,Rain
2025-08-08,31.3,65.1,0.0,8.7,1008.2,38.3,Clear
2025-08-09,36.1,65.7,0.0,7.3,1011.9,22.8,Hot
2025-08-10,26.8,60.9,0.0,9.1,1008.7,22.8,Clear
2025-08-11,32.4,58.3,0.0,4.2,1013.9,30.3,Clear
2025-08-12,27.2,70.3,0.0,12.3,1013.6,34.1,Clear
2025-08-13,29.7,58.6,5.9,7.8,1013.9,31.9,Rain
2025-08-14,33.0,65.3,0.0,11.4,1005.3,39.0,Hot
2025-08-15,30.7,61.6,9.6,9.0,1007.6,42.4,Rain
2025-08-16,28.1,68.5,14.6,9.4,1014.9,39.4,Rain
2025-08-17,28.8,67.6,13.7,9.7,1008.3,45.6,Rain
2025-08-18,31.8,72.7,0.0,9.3,1012.5,43.7,Clear
2025-08-19,28.6,62.1,0.0,9.9,1006.7,12.6,Clear
2025-08-20,30.6,63.9,5.3,12.0,1014.6,26.2,Rain
2025-08-21,30.1,59.1,0.0,8.6,1006.5,32.7,Clear
2025-08-22,28.5,63.1,0.0,10.1,1014.5,22.4,Clear
2025-08-23,34.5,69.0,6.1,7.7,1011.7,47.8,Rain
2025-08-24,31.1,71.8,0.0,12.3,1008.1,60.8,Clear
2025-08-25,25.2,60.3,0.0,6.0,1016.2,49.8,Clear
2025-08-26,30.0,73.0,0.0,13.4,1012.6,40.6,Clear
2025-08-27,28.0,76.6,0.0,7.9,1010.3,63.2,Clear
2025-08-28,31.2,70.2,27.2,3.7,1006.8,43.1,Heavy Rain
2025-08-29,27.5,80.6,0.0,8.4,1004.9,43.8,Clear
2025-08-30,28.9,62.2,0.0,6.0,1013.4,29.0,Clear
2025-08-31,30.2,59.1,0.0,10.5,1005.1,30.8,Clear
2025-09-01,30.9,55.6,16.5,6.0,1011.4,27.6,Rain
2025-09-02,26.2,78.7,0.0,6.7,1012.3,48.7,Clear
2025-09-03,28.0,73.0,5.4,2.3,1015.2,45.1,Rain
2025-09-04,27.6,68.2,3.5,6.6,1011.5,40.2,Rain
2025-09-05,27.1,70.8,9.0,1.0,1011.6,47.0,Rain
2025-09-06,32.4,61.2,0.0,3.2,1013.2,50.0,Clear
2025-09-07,29.3,86.4,4.9,10.3,1013.2,62.9,Rain
2025-09-08,25.5,70.3,0.0,10.4,1015.0,23.6,Clear
2025-09-09,30.2,70.4,0.0,9.3,1013.3,10.9,Clear
2025-09-10,32.7,74.9,1.8,5.1,1004.0,55.5,Rain
2025-09-11,30.2,73.4,0.0,7.9,1014.4,27.0,Clear
2025-09-12,24.5,71.8,16.1,8.0,1016.7,39.7,Rain
2025-09-13,26.7,64.9,0.0,4.5,1009.1,24.0,Clear
2025-09-14,30.5,74.0,0.0,12.5,1010.3,22.1,Clear
2025-09-15,26.0,84.0,5.3,10.6,1013.3,56.5,Rain
2025-09-16,28.4,80.5,0.0,7.3,1011.7,56.9,Clear
2025-09-17,29.1,82.4,2.0,8.1,1013.3,42.1,Rain
2025-09-18,25.2,67.9,0.0,8.6,1019.6,8.8,Clear
2025-09-19,27.0,64.8,0.0,1.9,1017.3,31.4,Clear
2025-09-20,19.9,71.0,8.7,7.3,1011.3,46.6,Rain
2025-09-21,24.7,72.5,0.0,6.0,1016.6,25.1,Clear
2025-09-22,26.3,80.0,37.9,5.0,1018.7,49.7,Heavy Rain
2025-09-23,24.0,60.7,0.0,7.2,1016.0,35.2,Clear
2025-09-24,30.2,83.4,20.7,13.4,1015.7,56.6,Heavy Rain
2025-09-25,23.4,71.8,27.5,9.9,1022.9,43.8,Heavy Rain
2025-09-26,25.5,70.1,0.0,6.3,1017.9,29.7,Clear
2025-09-27,26.6,66.3,0.0,9.7,1014.2,53.3,Clear
2025-09-28,29.4,62.0,2.6,12.2,1016.0,34.3,Rain
2025-09-29,23.0,79.5,7.5,10.8,1015.6,46.9,Rain
2025-09-30,28.6,74.5,14.5,8.2,1012.3,32.8,Rain
2025-10-01,25.9,65.1,0.0,6.1,1012.1,32.9,Clear
2025-10-02,23.7,65.3,0.0,10.1,1020.9,27.7,Clear
2025-10-03,26.7,72.2,0.0,9.2,1009.9,40.6,Clear
2025-10-04,26.1,86.4,20.7,10.7,1019.6,72.1,Heavy Rain
2025-10-05,24.2,73.1,0.0,9.9,1016.4,26.8,Clear
2025-10-06,25.6,64.6,0.0,11.1,1008.1,18.5,Clear
2025-10-07,24.5,73.6,0.0,6.4,1015.7,61.2,Clear
2025-10-08,25.5,73.7,0.0,12.0,1005.4,41.0,Clear
2025-10-09,26.6,56.9,0.0,8.6,1015.7,25.0,Clear
2025-10-10,28.5,75.6,0.0,14.2,1015.8,57.2,Clear
2025-10-11,22.2,74.5,3.8,5.9,1013.0,36.8,Rain
2025-10-12,29.5,81.2,24.4,13.2,1012.2,70.2,Heavy Rain
2025-10-13,20.4,89.5,18.9,8.6,1024.1,61.6,Rain
2025-10-14,24.3,84.6,0.0,6.0,1012.3,44.5,Clear
2025-10-15,25.8,75.0,3.1,6.5,1009.3,70.3,Rain
2025-10-16,25.1,69.4,6.8,7.0,1019.9,33.6,Rain
2025-10-17,23.0,95.3,0.0,9.3,1022.9,66.0,Cloudy
2025-10-18,23.8,77.9,28.3,9.6,1014.6,49.8,Heavy Rain
2025-10-19,23.1,77.8,0.0,6.3,1019.0,61.7,Clear
2025-10-20,22.8,77.7,34.4,7.9,1020.5,64.8,Heavy Rain
2025-10-21,25.9,79.4,0.0,14.4,1010.6,47.5,Clear
2025-10-22,24.7,77.2,0.0,13.2,1012.2,36.7,Clear
2025-10-23,22.3,74.4,0.0,9.3,1020.3,49.5,Clear
2025-10-24,25.7,74.7,1.8,8.1,1020.4,36.1,Rain
2025-10-25,24.3,78.5,18.6,8.4,1016.6,70.7,Rain
2025-10-26,25.3,75.1,10.6,9.8,1010.3,46.1,Rain
2025-10-27,24.9,74.1,4.1,4.9,1022.0,39.4,Rain
2025-10-28,21.6,80.0,0.0,7.2,1013.6,49.7,Clear
2025-10-29,22.1,77.6,0.0,3.0,1014.1,29.8,Clear
2025-10-30,24.9,90.1,0.0,9.2,1015.4,42.1,Cloudy
2025-10-31,24.5,61.1,0.0,9.9,1020.5,50.1,Clear
2025-11-01,23.0,87.5,0.0,6.6,1018.4,44.3,Cloudy
2025-11-02,23.2,88.7,0.0,12.7,1016.5,40.4,Cloudy
2025-11-03,25.7,65.7,22.1,4.3,1015.5,45.0,Heavy Rain
2025-11-04,21.5,77.9,0.0,3.6,1015.9,60.4,Clear
2025-11-05,24.0,77.9,0.0,8.7,1016.7,54.8,Clear
2025-11-06,22.2,70.8,0.0,11.1,1005.3,53.7,Clear
2025-11-07,22.1,75.3,5.3,13.1,1014.2,35.5,Rain
2025-11-08,25.0,73.1,0.0,6.6,1015.0,26.1,Clear
2025-11-09,24.3,93.3,9.8,11.2,1009.7,73.8,Rain
2025-11-10,24.2,87.7,0.0,7.9,1015.9,48.5,Cloudy
2025-11-11,25.2,90.2,0.0,7.5,1013.1,50.9,Cloudy
2025-11-12,22.3,86.5,26.0,10.7,1022.4,67.5,Heavy Rain
2025-11-13,23.7,73.7,0.0,10.0,1020.9,50.2,Clear
2025-11-14,21.5,78.0,10.6,3.3,1013.9,51.7,Rain
2025-11-15,22.8,85.2,12.5,12.4,1014.5,76.7,Rain
2025-11-16,21.8,73.4,27.1,12.1,1015.3,35.6,Heavy Rain
2025-11-17,22.2,87.0,0.0,6.1,1013.6,63.0,Cloudy
2025-11-18,23.2,80.5,0.0,9.2,1015.7,48.5,Clear
2025-11-19,20.1,79.6,5.7,9.5,1013.4,50.5,Rain
2025-11-20,26.4,87.3,0.0,8.8,1008.8,70.4,Cloudy
2025-11-21,19.6,85.6,10.9,6.3,1019.2,57.1,Rain
2025-11-22,19.0,80.0,0.0,6.0,1019.5,54.0,Clear
2025-11-23,24.2,90.8,0.0,7.9,1011.2,67.1,Cloudy
2025-11-24,23.4,75.2,0.0,11.5,1018.4,40.1,Clear
2025-11-25,23.0,87.2,5.5,9.6,1012.5,41.9,Rain
2025-11-26,22.9,87.1,0.0,6.9,1016.1,39.4,Cloudy
2025-11-27,21.5,80.8,0.0,10.3,1019.0,24.4,Clear
2025-11-28,19.5,85.4,5.6,1.0,1016.6,75.5,Rain
2025-11-29,21.6,74.4,0.0,11.4,1017.5,30.8,Clear
2025-11-30,19.9,89.7,9.0,2.8,1014.5,50.9,Rain
2025-12-01,23.5,82.0,0.0,6.9,1014.0,45.4,Clear
2025-12-02,21.0,79.7,15.3,4.6,1015.2,51.0,Rain
2025-12-03,19.5,90.8,0.0,4.1,1013.8,64.0,Cloudy
2025-12-04,20.5,78.6,6.4,11.5,1015.5,56.9,Rain
2025-12-05,22.1,73.7,2.6,6.6,1009.2,36.6,Rain
2025-12-06,20.0,72.7,10.9,9.0,1014.6,40.9,Rain
2025-12-07,19.4,87.9,29.2,7.9,1015.7,55.8,Heavy Rain
2025-12-08,21.7,74.7,0.0,9.4,1014.6,41.2,Clear
2025-12-09,21.7,96.0,3.4,8.2,1014.7,76.8,Rain
2025-12-10,20.0,69.2,0.0,4.2,1016.3,46.7,Clear
2025-12-11,20.0,95.7,1.4,11.0,1018.4,66.1,Rain
2025-12-12,21.6,85.3,9.2,6.5,1019.2,58.8,Rain
2025-12-13,17.9,83.2,0.0,3.3,1015.0,63.6,Clear
2025-12-14,17.9,80.1,14.0,6.7,1012.7,49.7,Rain
2025-12-15,19.4,86.7,0.0,12.5,1012.6,36.1,Cloudy
2025-12-16,20.6,83.7,0.0,10.6,1014.3,54.6,Clear
2025-12-17,21.7,91.7,0.0,7.0,1014.2,47.0,Cloudy
2025-12-18,24.3,84.8,0.0,7.0,1011.3,44.1,Clear
2025-12-19,22.9,85.0,0.0,7.0,1009.9,57.7,Cloudy
2025-12-20,20.6,81.5,21.5,14.2,1014.4,63.3,Heavy Rain
2025-12-21,21.0,83.6,16.9,9.1,1016.7,50.0,Rain
2025-12-22,18.8,86.2,2.0,9.3,1019.5,55.1,Rain
2025-12-23,21.0,72.0,0.0,11.1,1013.8,62.9,Clear
2025-12-24,20.4,74.5,12.8,8.7,1014.7,47.0,Rain
2025-12-25,21.7,89.2,4.5,7.2,1011.9,84.5,Rain
2025-12-26,19.2,85.1,0.0,7.4,1016.8,57.5,Cloudy
2025-12-27,22.2,82.6,0.0,7.8,1012.0,28.0,Clear
2025-12-28,24.4,84.0,1.7,7.9,1016.6,59.1,Rain
2025-12-29,20.8,86.3,7.3,10.2,1008.9,56.0,Rain
2025-12-30,22.0,80.1,0.0,8.2,1014.1,63.0,Clear
2025-12-31,22.6,78.4,0.0,10.2,1016.4,54.6,Clear
